photo;title;description;tags;extra
DSC09837;枣王 HXD1D0001;武局“枣王” HXD1D0001 牵引市郊通勤列车（应该是武昌南-武汉北区间）通过京广线司门口长江大桥引桥<br/>据悉，该车制动机存在故障，无法运转长交路，故常年运转通勤小交路。;train,wuhan,hxd;"{""preset"": ""train"", ""trainCode"": ""Unknown"", ""from"": ""Unknown"", ""to"": ""Unknown"", ""line"": ""京广线"", ""milemark"": "" "", ""locomotiveReg"": ""HXD1D0001""}"
DSC09121;意义不明的电线杆;<del>找亮点</del>;wuhan;{}
DSC00171-已增强-NR;DF80024;经典机位的意外之喜;train,wuhan,df;{}
DSC04714;梅;逆·梅;wuhan,school,flower,plum;{}
DSC07121;樱;一枝樱花;wuhan,school,flower,sakura;{}
DSC07133;樱;一簇樱花;wuhan,school,flower,sakura;{}
DSC07288;樱;一树樱花;wuhan,school,flower,sakura;{}
DSC07302;猫猫;校猫三花;wuhan,school,cat;{}
DSC07309;樱;一枝樱花;wuhan,school,flower,sakura;{}
DSC08918;芒果 CR400AF-J;CR400AF-J-0002 汉口站出站，前往仙桃;train,wuhan,cr400;{}
DSC08960;汉口站·云;;wuhan,cloud;{}
DSC09863;云之门;;wuhan,cloud,bridge;{}
DSC00706;光谷空轨;-21;;{}
DSC07789;硚口路·日落·轻轨;武汉地铁一号线;;{}
DSC01006;两个时代的相遇;CRH380AL-2554 & CR400AF-S-1073;;{}
